OID_	taz	HLTH_COUNT	town	ES_COUNT05	HLTH_COUNT05	HIED_COUNT05	ES_COUNT1	HLTH_COUNT1	HIED_COUNT1	HIED_COUNT	ES_DEN_TAZ	ES_DEN_1	ES_DEN_05	ES_COUNT	HIED_Count5	Shape_Length	Shape_Area	HLTH_COUNT05m	HIED_COUNT05m	ES_COUNT05m	HLTH_COUNT1m	HIED_COUNT1m	ES_COUNT1m	ES_DEN_05m	ES_DEN_1m
38	38		BOSTON	107	3	3	213	18	7		2044.645331	67.80000576	136.2366313	13	44	546.8194176	16467.32806	3	3	107	18	7	213	136.2366313	67.80000576
39	39		BOSTON	99	4	2	214	16	6		693.9224668	68.11831564	126.0507149	16	44	973.6029939	59718.21312	4	2	99	16	6	214	126.0507149	68.11831564
40	40		BOSTON	134	6	4	233	20	11		227.886571	74.16620348	170.614099	2	44	628.6295354	22730.50228	6	4	134	20	11	233	170.614099	74.16620348
41	41	1	BOSTON	128	4	4	231	19	7		716.4813573	73.52958371	162.9746617	8	44	692.6398929	28918.9728	4	4	128	19	7	231	162.9746617	73.52958371
42	42		BOSTON	124	6	4	224	19	7		1147.549641	71.30141451	157.8817035	3	44	389.0981668	6770.917833	6	4	124	19	7	224	157.8817035	71.30141451
43	43		BOSTON	121	4	3	222	18	7		641.5945444	70.66479473	154.0619849	2	44	397.9629309	8073.597672	4	3	121	18	7	222	154.0619849	70.66479473
44	44		BOSTON	105	3	3	221	18	7		0	70.34648485	133.6901522	0	44	446.3271305	11105.34189	3	3	105	18	7	221	133.6901522	70.34648485
45	45	1	BOSTON	100	3	3	216	18	7		1594.766763	68.75493542	127.3239545	12	44	564.9606626	19488.65379	3	3	100	18	7	216	127.3239545	68.75493542
46	46		BOSTON	95	3	2	223	19	6		1620.73756	70.98310462	120.9577567	14	44	671.8811406	22372.42749	3	2	95	19	6	223	120.9577567	70.98310462
47	47		BOSTON	137	8	5	235	19	9		450.0177669	74.80282325	174.4338176	4	44	618.8366801	23021.20761	8	5	137	19	9	235	174.4338176	74.80282325
48	48		BOSTON	129	5	4	230	19	7		1047.123501	73.21127382	164.2479013	7	44	576.1566948	17314.01956	5	4	129	19	7	230	164.2479013	73.21127382
49	49	1	BOSTON	115	3	3	223	19	7		712.2832418	70.98310462	146.4225476	2	44	340.3342413	7272.354474	3	3	115	19	7	223	146.4225476	70.98310462
50	50	1	BOSTON	94	2	2	220	19	6		391.7829185	70.02817496	119.6845172	8	43	933.232027	52886.18748	2	2	94	19	6	220	119.6845172	70.02817496
51	51		BOSTON	138	10	5	248	22	9		117.3840575	78.94085177	175.7070572	1	43	604.2852644	22064.22375	10	5	138	22	9	248	175.7070572	78.94085177
52	52		BOSTON	122	10	5	244	21	9		588.3277214	77.66761223	155.3352245	8	42	754.9431566	35218.30457	10	5	122	21	9	244	155.3352245	77.66761223
53	53		BOSTON	122	8	4	234	22	8		518.1375767	74.48451337	155.3352245	6	42	712.2146707	29991.89667	8	4	122	22	8	234	155.3352245	74.48451337
54	54	1	BOSTON	116	3	3	228	19	7		1974.250992	72.57465405	147.6957872	8	42	418.7586767	10495.07128	3	3	116	19	7	228	147.6957872	72.57465405
55	55		BOSTON	116	10	5	246	22	9		859.8173064	78.304232	147.6957872	5	42	533.0646129	15061.26994	10	5	116	22	9	246	147.6957872	78.304232
56	56		BOSTON	114	9	5	243	22	8		0	77.34930234	145.1493081	0	42	449.6238687	11631.26945	9	5	114	22	8	243	145.1493081	77.34930234
57	57		BOSTON	110	8	3	234	22	8		369.0958827	74.48451337	140.0563499	3	42	622.3253875	21051.34383	8	3	110	22	8	234	140.0563499	74.48451337
58	58		BOSTON	102	3	3	228	19	6		1880.826237	72.57465405	129.8704336	8	42	421.3515616	11016.38443	3	3	102	19	6	228	129.8704336	72.57465405
59	59		BOSTON	110	10	5	250	22	8		183.9609377	79.57747155	140.0563499	1	42	515.597145	14079.01124	10	5	110	22	8	250	140.0563499	79.57747155
60	60		BOSTON	112	8	4	242	22	8		0	77.03099246	142.602829	0	42	438.6742314	10258.70594	8	4	112	22	8	242	142.602829	77.03099246
61	61		BOSTON	130	10	5	252	22	9		341.1759083	80.21409132	165.5211408	2	42	518.2696611	15182.71394	10	5	130	22	9	252	165.5211408	80.21409132
62	62		BOSTON	112	12	5	251	22	9	1	144.1889981	79.89578143	142.602829	2	42	781.8352195	35924.90611	12	5	112	22	9	251	142.602829	79.89578143
63	63		BOSTON	122	12	5	255	22	9		416.6178296	81.16902098	155.3352245	5	42	736.4671739	31083.50059	12	5	122	22	9	255	155.3352245	81.16902098
64	64		BOSTON	116	12	5	251	22	9		317.1217416	79.89578143	147.6957872	2	42	543.6766499	16334.3459	12	5	116	22	9	251	147.6957872	79.89578143
65	65		BOSTON	110	12	5	254	22	9		87.74337455	80.85071109	140.0563499	1	42	882.724934	29517.76272	12	5	110	22	9	254	140.0563499	80.85071109
66	66		BOSTON	107	8	3	241	21	8		157.7229422	76.71268257	136.2366313	2	42	862.0017766	32842.24951	8	3	107	21	8	241	136.2366313	76.71268257
67	67		BOSTON	94	3	0	228	18	6		276.0320732	72.57465405	119.6845172	2	42	556.7128399	18765.84906	3	0	94	18	6	228	119.6845172	72.57465405
68	68		BOSTON	75	3	1	220	18	6		268.5341443	70.02817496	95.49296586	2	42	546.0907501	19289.8234	3	1	75	18	6	220	95.49296586	70.02817496
69	69	2	BOSTON	104	10	5	260	21	9	1	1089.803437	82.76057041	132.4169127	7	42	522.8449149	16635.95118	10	5	104	21	9	260	132.4169127	82.76057041
70	70		BOSTON	105	12	5	263	21	9		721.2928058	83.71550007	133.6901522	6	42	718.4671587	21544.54964	12	5	105	21	9	263	133.6901522	83.71550007
71	71		BOSTON	95	10	6	256	21	9	1	23.63926929	81.48733086	120.9577567	3	44	2430.104002	328688.8539	10	6	95	21	9	256	120.9577567	81.48733086
72	72		BOSTON	89	11	7	248	21	9		161.2885568	78.94085177	113.3183195	2	44	869.0358927	32116.20416	11	7	89	21	9	248	113.3183195	78.94085177
73	73		BOSTON	89	11	7	252	22	9		286.2953972	80.21409132	113.3183195	2	44	685.3874788	18093.11736	11	7	89	22	9	252	113.3183195	80.21409132
74	74	1	BOSTON	99	11	6	255	20	9	1	247.6658862	81.16902098	126.0507149	3	44	727.1072759	31372.76776	11	6	99	20	9	255	126.0507149	81.16902098
75	75	2	BOSTON	96	11	4	265	20	9	1	979.7671299	84.35211984	122.2309963	9	42	631.3175953	23791.25843	11	4	96	20	9	265	122.2309963	84.35211984
76	76		BOSTON	96	10	4	269	20	9		1927.192112	85.62535938	122.2309963	17	42	604.0891181	22846.60549	10	4	96	20	9	269	122.2309963	85.62535938
77	77	3	BOSTON	101	10	4	269	21	9		1550.459451	85.62535938	128.597194	27	42	962.0137587	45102.55263	10	4	101	21	9	269	128.597194	85.62535938
78	78		BOSTON	92	12	6	238	22	10		78.08401259	75.75775291	117.1380381	2	44	1008.763743	66338.49938	12	6	92	22	10	238	117.1380381	75.75775291
79	79	1	BOSTON	101	12	5	247	22	8		253.4803123	78.62254189	128.597194	3	44	783.611674	30653.1275	12	5	101	22	8	247	128.597194	78.62254189
80	80	1	BOSTON	89	12	5	249	22	8		205.2579789	79.25916166	113.3183195	3	42	848.1333257	37854.62749	12	5	89	22	8	249	113.3183195	79.25916166
81	81	1	BOSTON	88	13	5	264	22	8	1	326.1824978	84.03380995	112.0450799	5	42	842.3636584	39701.51874	13	5	88	22	8	264	112.0450799	84.03380995
82	82	3	BOSTON	81	12	4	256	18	9	1	565.8099491	81.48733086	103.1324031	9	41	877.467966	41197.38974	12	4	81	18	9	256	103.1324031	81.48733086
83	83	2	BOSTON	86	13	5	247	18	9		293.9287554	78.62254189	109.4986008	9	41	1480.590718	79304.56808	13	5	86	18	9	247	109.4986008	78.62254189
84	84		BOSTON	29	2	3	116	11	11		0	36.9239468	36.9239468	0	46	1306.952453	105194.8142	2	3	29	11	11	116	36.9239468	36.9239468
85	85		BOSTON	37	2	3	176	17	12	1	0	56.02253997	47.10986316	0	46	1334.347479	108719.2939	2	3	37	17	12	176	47.10986316	56.02253997
86	86		BOSTON	40	3	3	216	21	11	1	0	68.75493542	50.92958179	0	45	1372.702966	112628.5366	3	3	40	21	11	216	50.92958179	68.75493542
87	87		BOSTON	28	1	2	105	8	12	1	63.97258596	33.42253805	35.65070725	1	46	927.6432696	40485.90614	1	2	28	8	12	105	35.65070725	33.42253805
88	88		BOSTON	42	2	3	185	19	13	1	59.32067527	58.88732894	53.47606088	1	45	986.4608953	43660.79952	2	3	42	19	13	185	53.47606088	58.88732894
89	89		BOSTON	41	2	3	169	17	12		146.7671963	53.79437077	52.20282133	1	45	561.8277999	17646.91413	2	3	41	17	12	169	52.20282133	53.79437077
90	90		BOSTON	45	2	3	195	21	12		145.3136901	62.07042781	57.29577951	1	45	566.3021608	17823.42811	2	3	45	21	12	195	57.29577951	62.07042781
91	91		BOSTON	48	3	5	220	22	10		57.98011602	70.02817496	61.11549815	1	44	1018.694534	44670.28161	3	5	48	22	10	220	61.11549815	70.02817496
92	92		BOSTON	24	1	2	100	6	9		25.72163861	31.83098862	30.55774907	1	46	1287.922099	100692.9671	1	2	24	6	9	100	30.55774907	31.83098862
93	93		BOSTON	28	1	2	102	8	12	1	318.7342067	32.46760839	35.65070725	4	45	891.5556754	32503.42205	1	2	28	8	12	102	35.65070725	32.46760839
94	94		BOSTON	38	2	3	126	12	11		119.0824312	40.10704566	48.3831027	2	46	978.5104096	43499.08015	2	3	38	12	11	126	48.3831027	40.10704566
95	95		BOSTON	42	3	3	140	13	12		518.3470774	44.56338407	53.47606088	7	45	934.8994394	34976.40396	3	3	42	13	12	140	53.47606088	44.56338407
96	96		BOSTON	49	3	4	211	22	11		589.323016	67.16338598	62.38873769	4	45	564.4401284	17579.41258	3	4	49	22	11	211	62.38873769	67.16338598
97	97		BOSTON	54	8	5	224	22	10		264.8777046	71.30141451	68.75493542	2	44	610.8308813	19556.10506	8	5	54	22	10	224	68.75493542	71.30141451
98	98		BOSTON	61	8	6	223	23	10		378.4361489	70.98310462	77.66761223	3	44	610.0332354	20531.77095	8	6	61	23	10	223	77.66761223	70.98310462
99	99		BOSTON	54	5	4	210	22	12		563.0015591	66.8450761	68.75493542	4	45	569.3020559	18401.28553	5	4	54	22	12	210	68.75493542	66.8450761
100	100		BOSTON	67	8	6	228	23	11		242.6536095	72.57465405	85.3070495	2	44	619.6053224	21347.20448	8	6	67	23	11	228	85.3070495	72.57465405
101	101	1	BOSTON	73	8	6	226	21	12		247.1808949	71.93803428	92.94648677	4	44	834.4349638	41912.43198	8	6	73	21	12	226	92.94648677	71.93803428
102	102	1	BOSTON	59	6	4	211	19	12		377.0441435	67.16338598	75.12113314	7	45	897.4394245	48084.33465	6	4	59	19	12	211	75.12113314	67.16338598
103	103	1	BOSTON	53	2	3	191	18	13		280.2820614	60.79718826	67.48169587	4	45	773.3228915	36962.59542	2	3	53	18	13	191	67.48169587	60.79718826
104	104		BOSTON	47	2	4	176	18	12		240.2973754	56.02253997	59.8422586	4	45	1063.737936	43113.04867	2	4	47	18	12	176	59.8422586	56.02253997
105	105		BOSTON	56	2	3	173	21	12		218.1604166	55.06761031	71.30141451	5	45	999.2019027	59359.71683	2	3	56	21	12	173	71.30141451	55.06761031
106	106		BOSTON	44	2	3	133	14	13		192.8051129	42.33521486	56.02253997	11	45	1564.085703	147765.1126	2	3	44	14	13	133	56.02253997	42.33521486
107	107		BOSTON	48	1	4	144	17	10		0	45.83662361	61.11549815	0	45	1731.764163	131403.0273	1	4	48	17	10	144	61.11549815	45.83662361
108	108		BOSTON	29	1	3	107	7	13		88.51266012	34.05915782	36.9239468	1	45	729.1052128	29261.21649	1	3	29	7	13	107	36.9239468	34.05915782
109	109		BOSTON	33	1	4	126	12	13		54.71771844	40.10704566	42.01690498	2	45	1325.021777	94667.25529	1	4	33	12	13	126	42.01690498	40.10704566
110	110		BOSTON	67	3	2	176	22	12		0	56.02253997	85.3070495	0	45	1380.476736	104091.9594	3	2	67	22	12	176	85.3070495	56.02253997
111	111	1	BOSTON	65	2	2	190	21	12		387.8266971	60.47887837	82.76057041	5	45	845.3286036	33391.04978	2	2	65	21	12	190	82.76057041	60.47887837
112	112		BOSTON	74	6	2	194	22	12	1	126.7794444	61.75211792	94.21972631	5	45	1275.304537	102145.4276	6	2	74	22	12	194	94.21972631	61.75211792
113	113		BOSTON	78	10	4	212	20	12	1	61.46627749	67.48169587	99.31268449	1	44	931.0109106	42136.73279	10	4	78	20	12	212	99.31268449	67.48169587
114	114		BOSTON	84	13	4	218	21	10		82.93614949	69.39155519	106.9521218	4	43	1373.716434	124914.799	13	4	84	21	10	218	106.9521218	69.39155519
115	115		BOSTON	73	9	3	218	23	9		114.4423565	69.39155519	92.94648677	5	41	1403.374024	113156.8848	9	3	73	23	9	218	92.94648677	69.39155519
116	116		BOSTON	42	2	2	162	17	9		41.36170015	51.56620156	53.47606088	2	44	1526.678284	125236.0566	2	2	42	17	9	162	53.47606088	51.56620156
117	117		BOSTON	52	4	2	168	22	11		205.1350488	53.47606088	66.20845633	7	44	1231.118433	88380.39563	4	2	52	22	11	168	66.20845633	53.47606088
118	118		BOSTON	69	7	1	199	22	12		230.1375207	63.34366735	87.85352859	4	44	1009.975914	45016.35548	7	1	69	22	12	199	87.85352859	63.34366735
119	119		BOSTON	64	8	2	203	21	12		174.035632	64.6169069	81.48733086	7	43	1430.826294	104173.5911	8	2	64	21	12	203	81.48733086	64.6169069
120	120	1	BOSTON	60	6	2	204	21	10		195.4593399	64.93521678	76.39437268	10	43	1633.310568	132507.7692	6	2	60	21	10	204	76.39437268	64.93521678
121	121	2	BOSTON	47	5	1	198	23	7		107.0907791	63.02535746	59.8422586	5	43	1508.754345	120924.8888	5	1	47	23	7	198	59.8422586	63.02535746
122	122	1	BOSTON	43	6	2	181	15	8		86.02919445	57.6140894	54.74930042	4	44	1404.311591	120423.683	6	2	43	15	8	181	54.74930042	57.6140894
123	123	1	BOSTON	51	6	2	185	22	10		331.1377636	58.88732894	64.93521678	16	44	1428.82022	125143.7146	6	2	51	22	10	185	64.93521678	58.88732894
124	124		BOSTON	51	8	2	204	21	7		162.5345844	64.93521678	64.93521678	8	43	1490.614061	127479.9758	8	2	51	21	7	204	64.93521678	64.93521678
125	125	1	BOSTON	48	7	1	175	16	7		89.98345202	55.70423008	61.11549815	2	44	967.8802285	57565.87577	7	1	48	16	7	175	61.11549815	55.70423008
126	126	1	BOSTON	58	7	1	163	15	4	1	40.76866234	51.88451145	73.84789359	1	44	1011.008147	63528.89601	7	1	58	15	4	163	73.84789359	51.88451145
127	127	1	BOSTON	44	7	1	177	14	5		156.9338246	56.34084985	56.02253997	3	44	891.9323229	49511.08757	7	1	44	14	5	177	56.02253997	56.34084985
128	128	3	BOSTON	52	7	1	166	12	4	1	261.8243285	52.83944111	66.20845633	7	44	1075.54295	69244.58424	7	1	52	12	4	166	66.20845633	52.83944111
129	129	2	BOSTON	51	7	1	163	14	3		67.96718974	51.88451145	64.93521678	4	43	2300.71163	152425.7878	7	1	51	14	3	163	64.93521678	51.88451145
130	130	1	BOSTON	31	4	0	151	18	3		33.66211285	48.06479281	39.47042589	7	41	4064.034212	538585.2294	4	0	31	18	3	151	39.47042589	48.06479281
131	131	1	BOSTON	44	6	1	145	11	2		33.78260134	46.1549335	56.02253997	3	44	2204.905794	229998.9943	6	1	44	11	2	145	56.02253997	46.1549335
132	132	1	BOSTON	36	4	0	147	10	1		230.3576078	46.79155327	45.83662361	17	45	2146.541867	191136.7212	4	0	36	10	1	147	45.83662361	46.79155327
133	133		BOSTON	28	0	0	113	9	1		59.53231019	35.96901714	35.65070725	10	43	2809.472668	435055.8717	0	0	28	9	1	113	35.65070725	35.96901714
134	134		BOSTON	18	1	0	96	6	0		14.69477296	30.55774907	22.91831181	2	41	2521.641683	352504.6786	1	0	18	6	0	96	22.91831181	30.55774907
135	135		BOSTON	27	1	0	183	11	5		31.7691196	58.25070917	34.37746771	2	41	2140.193549	163050.6695	1	0	27	11	5	183	34.37746771	58.25070917
136	136		BOSTON	29	1	0	191	15	6		199.7053018	60.79718826	36.9239468	11	41	1613.836431	142659.5536	1	0	29	15	6	191	36.9239468	60.79718826
137	137		BOSTON	33	2	0	189	17	6		59.18006626	60.16056849	42.01690498	1	41	1221.347501	43764.53549	2	0	33	17	6	189	42.01690498	60.16056849
138	138		BOSTON	29	1	0	80	3	0		163.6589582	25.46479089	36.9239468	6	40	2613.405243	94953.11978	1	0	29	3	0	80	36.9239468	25.46479089
139	139	1	BOSTON	29	1	0	96	8	0		207.4839115	30.55774907	36.9239468	16	41	2041.513365	199725.4122	1	0	29	8	0	96	36.9239468	30.55774907
140	140		BOSTON	27	1	0	55	3	0		64.52185552	17.50704374	34.37746771	7	38	2837.581872	280988.7692	1	0	27	3	0	55	34.37746771	17.50704374
141	141		BOSTON	7	0	0	39	1	0		8.922303807	12.41408556	8.912676813	1	34	2844.2042	290282.439	0	0	7	1	0	39	8.912676813	12.41408556
142	142		BOSTON	8	0	0	44	1	0		54.61664416	14.00563499	10.18591636	4	34	3048.44053	189684.8955	0	0	8	1	0	44	10.18591636	14.00563499
143	143		BOSTON	33	2	0	189	17	6		119.5252797	60.16056849	42.01690498	1	41	767.1246118	21668.9567	2	0	33	17	6	189	42.01690498	60.16056849
144	144		BOSTON	41	4	0	196	17	6		0	62.38873769	52.20282133	0	41	1165.173286	71767.93584	4	0	41	17	6	196	52.20282133	62.38873769
145	145		BOSTON	29	0	0	184	16	5		0	58.56901906	36.9239468	0	41	1976.540762	131509.4897	0	0	29	16	5	184	36.9239468	58.56901906
146	146		BOSTON	45	6	0	214	18	5		0	68.11831564	57.29577951	0	41	1972.428052	167593.5194	6	0	45	18	5	214	57.29577951	68.11831564
147	147		BOSTON	23	2	0	196	22	6		11.03738738	62.38873769	29.28450953	1	41	2269.831876	234655.9037	2	0	23	22	6	196	29.28450953	62.38873769
148	148		BOSTON	29	1	0	155	15	1		8.375485406	49.33803236	36.9239468	1	41	2474.933315	309234.3888	1	0	29	15	1	155	36.9239468	49.33803236
149	149		BOSTON	29	1	0	86	4	0		0	27.37465021	36.9239468	0	41	563.7016594	19032.93509	1	0	29	4	0	86	36.9239468	27.37465021
150	150		BOSTON	32	3	0	105	8	0		24.46289778	33.42253805	40.74366543	1	41	1596.85212	105874.1337	3	0	32	8	0	105	40.74366543	33.42253805
151	151		BOSTON	17	2	0	135	12	1		86.02268206	42.97183463	21.64507226	7	41	1892.720041	210757.3995	2	0	17	12	1	135	21.64507226	42.97183463
152	152		BOSTON	23	2	0	145	14	2		84.95192736	46.1549335	29.28450953	7	41	1862.239052	213413.8369	2	0	23	14	2	145	29.28450953	46.1549335
153	153		BOSTON	21	2	0	95	9	1		53.17667171	30.23943919	26.73803044	3	42	1982.949895	146116.0332	2	0	21	9	1	95	26.73803044	30.23943919
154	154		BOSTON	20	0	0	99	11	1		13.53447177	31.51267873	25.46479089	2	43	2778.330185	382724.6685	0	0	20	11	1	99	25.46479089	31.51267873
155	155		BOSTON	15	2	0	73	4	0		52.829212	23.23662169	19.09859317	3	43	1594.399069	147077.0439	2	0	15	4	0	73	19.09859317	23.23662169
156	156	2	BOSTON	25	2	0	73	5	0		75.09117796	23.23662169	31.83098862	7	42	2029.826395	241438.7051	2	0	25	5	0	73	31.83098862	23.23662169
157	157		BOSTON	23	2	0	64	3	0		15.82172513	20.37183272	29.28450953	3	41	4220.360583	491094.6352	2	0	23	3	0	64	29.28450953	20.37183272
158	158		BOSTON	8	0	0	47	3	0		0	14.96056465	10.18591636	0	34	3473.64963	337992.5801	0	0	8	3	0	47	10.18591636	14.96056465
