OID_	taz	HLTH_COUNT	town	ES_COUNT05	HLTH_COUNT05	HIED_COUNT05	ES_COUNT1	HLTH_COUNT1	HIED_COUNT1	HIED_COUNT	ES_DEN_TAZ	ES_DEN_1	ES_DEN_05	ES_COUNT	HIED_Count5	Shape_Length	Shape_Area	HLTH_COUNT05m	HIED_COUNT05m	ES_COUNT05m	HLTH_COUNT1m	HIED_COUNT1m	ES_COUNT1m	ES_DEN_05m	ES_DEN_1m
409	409		BOSTON	14	1	0	20	1	0		38.03318272	6.366197724	17.82535363	8	12	3476.026768	544784.9326	1	0	14	1	0	20	17.82535363	6.366197724
410	410		BOSTON	3	0	0	27	1	0		4.298849558	8.594366927	3.819718634	1	13	3412.042666	602484.0077	0	0	3	1	0	27	3.819718634	8.594366927
411	411		BOSTON	5	0	0	20	0	0		13.66675598	6.366197724	6.366197724	4	16	4303.84935	758040.3466	0	0	5	0	0	20	6.366197724	6.366197724
412	412		BOSTON	6	0	0	38	1	0		41.23231501	12.09577567	7.639437268	5	19	2699.604724	314072.6042	0	0	6	1	0	38	7.639437268	12.09577567
413	413		BOSTON	2	0	0	20	0	0		0	6.366197724	2.546479089	0	14	4566.001499	1014094.87	0	0	2	0	0	20	2.546479089	6.366197724
414	414		BOSTON	5	0	0	28	0	0		4.593168438	8.912676813	6.366197724	1	7	3465.012855	563878.3217	0	0	5	0	0	28	6.366197724	8.912676813
415	415		BOSTON	18	0	0	27	0	0		9.242981555	8.594366927	22.91831181	2	6	3304.63255	560422.6504	0	0	18	0	0	27	22.91831181	8.594366927
416	416		BOSTON	15	0	0	27	0	0		2.06639139	8.594366927	19.09859317	1	4	6041.051622	1253387.002	0	0	15	0	0	27	19.09859317	8.594366927
417	417		BOSTON	20	0	0	28	0	1		70.10189013	8.912676813	25.46479089	18	5	4299.893421	665028.9443	0	0	20	0	1	28	25.46479089	8.912676813
418	418		BOSTON	3	0	0	29	0	1		2.488835585	9.230986699	3.819718634	1	6	4174.262819	1040642.51	0	0	3	0	1	29	3.819718634	9.230986699
419	419		BOSTON	4	0	1	29	0	1		12.78815611	9.230986699	5.092958179	3	4	3285.885777	607590.6692	0	1	4	0	1	29	5.092958179	9.230986699
420	420		BOSTON	5	0	0	11	0	1		11.24473076	3.501408748	6.366197724	5	5	5533.853294	1151645.23	0	0	5	0	1	11	6.366197724	3.501408748
421	421		BOSTON	9	0	0	16	0	0		7.869004369	5.092958179	11.4591559	4	4	6391.420154	1316551.873	0	0	9	0	0	16	11.4591559	5.092958179
422	422		BOSTON	0	0	0	23	0	0		0	7.321127382	0	0	4	5231.862363	1131564.736	0	0	0	0	0	23	0	7.321127382
423	423		BOSTON	15	0	0	41	2	0		12.94238922	13.05070533	19.09859317	3	31	3487.418084	600350.0742	0	0	15	2	0	41	19.09859317	13.05070533
424	424		BOSTON	13	0	0	40	1	0		20.8698493	12.73239545	16.55211408	11	23	5069.760411	1365120.984	0	0	13	1	0	40	16.55211408	12.73239545
425	425		BOSTON	24	1	0	44	2	0		25.55604621	14.00563499	30.55774907	3	27	2808.179444	304036.2452	1	0	24	2	0	44	30.55774907	14.00563499
426	426	1	BOSTON	22	1	0	43	1	0		34.76260883	13.68732511	28.01126998	8	25	3229.019702	596039.986	1	0	22	1	0	43	28.01126998	13.68732511
427	427		BOSTON	7	0	0	35	1	0		17.66241299	11.14084602	8.912676813	5	21	3608.817516	733192.0366	0	0	7	1	0	35	8.912676813	11.14084602
428	428		BOSTON	0	0	0	11	0	0		2.363010904	3.501408748	0	2	9	6718.834807	2192108.471	0	0	2	0	0	11	2.363010904	3.501408748
429	429		BOSTON	19	1	0	35	2	0		8.910256797	11.14084602	24.19155135	2	28	3720.217989	581349.824	1	0	19	2	0	35	24.19155135	11.14084602
430	430	1	BOSTON	20	1	0	36	1	0		95.55800096	11.4591559	25.46479089	16	23	3264.072368	433661.3297	1	0	20	1	0	36	25.46479089	11.4591559
431	431		BOSTON	6	0	0	35	1	0		7.406342239	11.14084602	7.639437268	2	21	3736.332524	699397.3615	0	0	6	1	0	35	7.639437268	11.14084602
432	432		BOSTON	3	0	0	36	2	0		8.342779423	11.4591559	3.819718634	3	25	4183.856451	931340.0172	0	0	3	2	0	36	3.819718634	11.4591559
433	433		BOSTON	0	0	0	26	2	0		0	8.276057041	0	0	29	4260.493735	1043402.58	0	0	0	2	0	26	0	8.276057041
434	434		BOSTON	4	0	0	11	1	0		8.50261795	3.501408748	5.092958179	4	5	6316.546805	1218442.661	0	0	4	1	0	11	5.092958179	3.501408748
435	435		BOSTON	1	0	0	17	0	0		8.434746285	5.411268065	1.273239545	4	6	4847.82683	1228247.074	0	0	1	0	0	17	1.273239545	5.411268065
436	436		BOSTON	8	1	0	11	1	0		11.26565499	3.501408748	10.18591636	3	5	3459.732771	689703.7354	1	0	8	1	0	11	10.18591636	3.501408748
437	437		BOSTON	2	0	0	15	1	0		8.141616527	4.774648293	2.546479089	1	5	3366.738188	318117.1825	0	0	2	1	0	15	2.546479089	4.774648293
438	438		BOSTON	5	0	0	18	0	0		3.623256329	5.729577951	6.366197724	1	9	3911.681762	714823.3178	0	0	5	0	0	18	6.366197724	5.729577951
439	439		BOSTON	2	0	0	21	0	0		0	6.68450761	2.546479089	0	16	3887.012404	899140.1539	0	0	2	0	0	21	2.546479089	6.68450761
440	440		BOSTON	13	0	0	22	0	0		22.79956793	7.002817496	16.55211408	6	17	3444.256302	681588.735	0	0	13	0	0	22	16.55211408	7.002817496
441	441		BOSTON	11	0	0	23	1	0		22.83706343	7.321127382	14.00563499	6	20	3850.534152	680469.6544	0	0	11	1	0	23	14.00563499	7.321127382
442	442		BOSTON	3	1	0	17	1	0		5.230272049	5.411268065	3.819718634	1	21	4054.067253	495191.8535	1	0	3	1	0	17	3.819718634	5.411268065
443	443		BOSTON	10	0	0	19	1	0		29.36234581	6.047887837	12.73239545	8	17	3617.793093	705662.45	0	0	10	1	0	19	12.73239545	6.047887837
444	444		BOSTON	2	0	0	15	0	0		0	4.774648293	2.546479089	0	11	6866.470005	1646391.257	0	0	2	0	0	15	2.546479089	4.774648293
445	445		BOSTON	6	0	0	17	0	0		28.72481916	5.411268065	7.639437268	2	9	2297.864261	180331.0298	0	0	6	0	0	17	7.639437268	5.411268065
446	446		BOSTON	3	0	0	6	0	0		6.969491346	1.909859317	3.819718634	2	11	4814.788984	743235.9068	0	0	3	0	0	6	3.819718634	1.909859317
447	447	1	BOSTON	0	0	0	5	1	0		1.089088107	1.591549431	0	1	21	8502.253206	2378125.419	1	0	1	1	0	5	1.089088107	1.591549431
448	448		WINTHROP	0	0	0	1	0	0		0	0.318309886	0	0	8	10228.55886	925377.7576	0	0	0	0	0	1	0	0.318309886
449	449		WINTHROP	1	0	0	14	0	0		7.38325499	4.456338407	1.273239545	1	5	4261.684716	350792.1796	0	0	1	0	0	14	1.273239545	4.456338407
450	450		WINTHROP	12	0	0	16	0	0		20.71969103	5.092958179	15.27887454	10	12	6199.785608	1250012.901	0	0	12	0	0	16	15.27887454	5.092958179
451	451		WINTHROP	0	0	0	15	0	0		4.758802856	4.774648293	0	3	20	8277.532322	1632756.087	0	0	0	0	0	15	0	4.774648293
452	452		WINTHROP	13	0	0	23	0	0		20.93821795	7.321127382	16.55211408	5	13	4207.519611	618483.4154	0	0	13	0	0	23	16.55211408	7.321127382
453	453		WINTHROP	3	0	0	20	0	0		16.2030914	6.366197724	3.819718634	2	10	2999.044201	319690.6128	0	0	3	0	0	20	3.819718634	6.366197724
454	454		WINTHROP	2	0	0	15	0	0		6.471244792	4.774648293	2.546479089	2	5	5670.55482	800460.5585	0	0	2	0	0	15	2.546479089	4.774648293
455	455		CHELSEA	10	0	0	110	3	0		21.15829009	35.01408748	12.73239545	2	32	3026.760678	244820.172	0	0	10	3	0	110	12.73239545	35.01408748
456	456		CHELSEA	35	1	0	131	3	0		27.54404933	41.69859509	44.56338407	2	41	3230.024124	188061.5359	1	0	35	3	0	131	44.56338407	41.69859509
457	457		CHELSEA	35	0	0	116	3	0		31.67658005	36.9239468	44.56338407	2	36	2055.491161	163527.0036	0	0	35	3	0	116	44.56338407	36.9239468
458	458		CHELSEA	44	2	0	130	3	0		208.9034259	41.3802852	56.02253997	7	39	1299.40009	86786.11514	2	0	44	3	0	130	56.02253997	41.3802852
459	459		CHELSEA	54	3	0	130	3	0		458.1169491	41.3802852	68.75493542	17	37	1730.551976	96110.38832	3	0	54	3	0	130	68.75493542	41.3802852
460	460		CHELSEA	42	0	0	111	3	0		0	35.33239737	53.47606088	0	32	1658.211319	152603.8784	0	0	42	3	0	111	53.47606088	35.33239737
461	461		CHELSEA	48	0	0	100	3	0		113.5510368	31.83098862	61.11549815	7	31	1773.336474	159663.1549	0	0	48	3	0	100	61.11549815	31.83098862
462	462		CHELSEA	32	2	0	100	4	0		0	31.83098862	40.74366543	0	41	2896.509294	417168.7736	2	0	32	4	0	100	40.74366543	31.83098862
463	463		CHELSEA	59	3	0	117	3	0		338.4168088	37.24225668	75.12113314	22	36	2524.532798	168371.4784	3	0	59	3	0	117	75.12113314	37.24225668
464	464	2	CHELSEA	61	3	0	111	3	0		117.7239885	35.33239737	77.66761223	12	37	2164.543355	264006.1531	3	0	61	3	0	111	77.66761223	35.33239737
465	465		CHELSEA	42	3	0	118	5	0		151.9163045	37.56056657	53.47606088	17	39	2575.791424	289829.3111	3	0	42	5	0	118	53.47606088	37.56056657
466	466	2	CHELSEA	66	3	0	111	5	0		71.96750318	35.33239737	84.03380995	5	37	1917.982895	179941.5011	3	0	66	5	0	111	84.03380995	35.33239737
467	467		CHELSEA	12	0	0	88	4	0		9.11367756	28.01126998	15.27887454	2	25	4179.858974	568373.8739	0	0	12	4	0	88	15.27887454	28.01126998
468	468		CHELSEA	15	1	0	68	3	0		18.07974705	21.64507226	19.09859317	2	17	2829.088458	286507.118	1	0	15	3	0	68	19.09859317	21.64507226
469	469		CHELSEA	21	1	0	78	4	0		134.9156979	24.82817112	26.73803044	9	19	1984.045178	172773.7644	1	0	21	4	0	78	26.73803044	24.82817112
470	470		CHELSEA	37	0	0	89	4	0		36.36125302	28.32957987	47.10986316	2	27	2075.498853	142458.6831	0	0	37	4	0	89	47.10986316	28.32957987
471	471		CHELSEA	49	3	0	103	4	0		200.1653561	32.78591828	62.38873769	14	32	1720.981508	181149.3969	3	0	49	4	0	103	62.38873769	32.78591828
472	472		CHELSEA	38	3	0	121	4	0		14.28140012	38.51549623	48.3831027	1	32	1657.399511	181353.935	3	0	38	4	0	121	48.3831027	38.51549623
473	473	1	CHELSEA	32	3	0	138	5	0		36.56493389	43.92676429	40.74366543	4	33	2618.022859	283330.2659	3	0	32	5	0	138	40.74366543	43.92676429
474	474		CHELSEA	39	0	0	92	5	0		61.43025815	29.28450953	49.65634224	6	28	2636.322545	252968.6368	0	0	39	5	0	92	49.65634224	29.28450953
475	475		CHELSEA	24	0	0	95	7	0		26.60957859	30.23943919	30.55774907	5	23	3749.926143	486664.6237	0	0	24	7	0	95	30.55774907	30.23943919
476	476		CHELSEA	9	0	0	89	5	0		16.74842354	28.32957987	11.4591559	2	24	2612.792706	309281.4203	0	0	9	5	0	89	11.4591559	28.32957987
477	477		CHELSEA	8	1	0	77	4	0		11.40264425	24.50986124	10.18591636	2	26	3674.383319	454278.5085	1	0	8	4	0	77	10.18591636	24.50986124
478	478		REVERE	4	0	0	26	2	0		14.61811317	8.276057041	5.092958179	4	12	4203.370105	708706.5424	0	0	4	2	0	26	5.092958179	8.276057041
479	479		REVERE	8	2	0	30	2	0		0	9.549296586	10.18591636	0	10	3522.199214	464961.4527	2	0	8	2	0	30	10.18591636	9.549296586
480	480	2	REVERE	11	0	0	36	2	0		51.68053187	11.4591559	14.00563499	10	14	4105.189467	501153.5324	0	0	11	2	0	36	14.00563499	11.4591559
481	481		REVERE	9	0	0	65	5	0		19.30526063	20.6901426	11.4591559	6	16	4214.785496	804958.2421	0	0	9	5	0	65	11.4591559	20.6901426
482	482		REVERE	23	2	0	57	5	0		25.41399851	18.14366351	29.28450953	3	14	2517.866375	305735.6098	2	0	23	5	0	57	29.28450953	18.14366351
483	483		REVERE	20	2	0	60	5	0		125.4339103	19.09859317	25.46479089	13	11	2086.240364	268426.9776	2	0	20	5	0	60	25.46479089	19.09859317
484	484	2	REVERE	17	2	0	34	2	0		22.45784933	10.82253613	21.64507226	3	7	3175.28302	345979.894	2	0	17	2	0	34	21.64507226	10.82253613
485	485	2	REVERE	23	2	0	55	4	0		34.55613062	17.50704374	29.28450953	4	9	2912.454958	299800.7085	2	0	23	4	0	55	29.28450953	17.50704374
486	486		REVERE	25	2	0	60	5	0		16.60357538	19.09859317	31.83098862	2	11	3048.895942	311979.5647	2	0	25	5	0	60	31.83098862	19.09859317
487	487	2	REVERE	21	2	0	65	5	0		33.57110423	20.6901426	26.73803044	6	11	2858.051966	462895.9642	2	0	21	5	0	65	26.73803044	20.6901426
488	488	2	REVERE	21	3	0	66	5	0		60.51694098	21.00845249	26.73803044	14	14	3578.422849	599168.3148	3	0	21	5	0	66	26.73803044	21.00845249
489	489	2	REVERE	19	2	0	59	3	0		78.93544409	18.78028328	24.19155135	11	15	2639.927226	360926.1915	2	0	19	3	0	59	24.19155135	18.78028328
490	490	1	REVERE	16	1	0	64	4	0		23.20836909	20.37183272	20.37183272	7	18	4190.425181	781180.1296	1	0	16	4	0	64	20.37183272	20.37183272
491	491		REVERE	2	0	0	40	4	0		6.706554438	12.73239545	2.546479089	2	15	3786.226811	772375.1844	0	0	2	4	0	40	2.546479089	12.73239545
492	492		REVERE	12	1	0	44	3	0		24.60992324	14.00563499	15.27887454	4	11	2695.339184	420966.4671	1	0	12	3	0	44	15.27887454	14.00563499
493	493		REVERE	4	0	0	34	2	0		3.98650695	10.82253613	5.092958179	1	11	3352.592372	649688.5977	0	0	4	2	0	34	5.092958179	10.82253613
494	494		REVERE	1	0	0	4	0	0		4.467275083	1.273239545	1.273239545	2	1	5902.992718	1159538.225	0	0	1	0	0	4	1.273239545	1.273239545
495	495		REVERE	0	0	0	12	0	0		3.407646486	3.819718634	0	2	4	11705.97495	1520103.755	0	0	0	0	0	12	0	3.819718634
496	496		REVERE	10	0	0	39	3	0		15.2096302	12.41408556	12.73239545	6	7	6917.515806	1021716.403	0	0	10	3	0	39	12.73239545	12.41408556
497	497		REVERE	14	0	0	38	2	0		27.40401691	12.09577567	17.82535363	7	8	5461.485064	661578.8055	0	0	14	2	0	38	17.82535363	12.09577567
498	498		REVERE	10	0	0	32	1	0		8.075804022	10.18591636	12.73239545	2	9	3790.999207	641419.2577	0	0	10	1	0	32	12.73239545	10.18591636
499	499		REVERE	8	0	0	25	0	0		19.84927749	7.957747155	10.18591636	5	9	4484.135491	652413.699	0	0	8	0	0	25	10.18591636	7.957747155
500	500		REVERE	5	0	0	26	0	0		9.225345671	8.276057041	6.366197724	5	6	8000.891148	1403734.994	0	0	5	0	0	26	6.366197724	8.276057041
501	501		REVERE	0	0	0	16	0	0		0	5.092958179	0	0	5	6140.322337	1217019.158	0	0	0	0	0	16	0	5.092958179
502	502		EVERETT	24	0	0	69	2	0		22.89742304	21.96338215	30.55774907	17	41	7751.928627	1922914.984	0	0	24	2	0	69	30.55774907	21.96338215
503	503		EVERETT	10	0	0	52	2	0		11.62443218	16.55211408	12.73239545	5	38	7431.653934	1114027.795	0	0	10	2	0	52	12.73239545	16.55211408
504	504		EVERETT	26	1	0	126	6	0		11.50925136	40.10704566	33.10422816	2	36	3596.812716	450070.6482	1	0	26	6	0	126	33.10422816	40.10704566
505	505	1	EVERETT	33	2	0	105	6	0		75.4697613	33.42253805	42.01690498	9	33	3750.246975	308864.0084	2	0	33	6	0	105	42.01690498	33.42253805
506	506		EVERETT	14	1	0	127	6	0		39.93578194	40.42535555	17.82535363	6	32	2414.884485	389122.9346	1	0	14	6	0	127	17.82535363	40.42535555
507	507		EVERETT	36	2	0	94	4	0		128.8716697	29.9211293	45.83662361	14	31	2196.095266	281363.8841	2	0	36	4	0	94	45.83662361	29.9211293
508	508		EVERETT	19	1	0	84	4	0		47.59116931	26.73803044	24.19155135	9	32	4155.073845	489794.5004	1	0	19	4	0	84	24.19155135	26.73803044
509	509	2	EVERETT	34	2	0	88	3	0		179.9436687	28.01126998	43.29014452	21	33	2902.238072	302259.8723	2	0	34	3	0	88	43.29014452	28.01126998
510	510		EVERETT	29	2	0	77	4	0		109.4108917	24.50986124	36.9239468	8	31	2417.272462	189376.9857	2	0	29	4	0	77	36.9239468	24.50986124
511	511		EVERETT	33	2	0	76	5	0		24.7230659	24.19155135	42.01690498	3	30	2326.299769	314279.9668	2	0	33	5	0	76	42.01690498	24.19155135
512	512	1	EVERETT	15	1	0	79	4	0		48.46252508	25.14648101	19.09859317	6	27	2419.878075	320658.6664	1	0	15	4	0	79	19.09859317	25.14648101
513	513		EVERETT	41	2	0	68	3	0		136.6448145	21.64507226	52.20282133	14	30	2084.872625	265358.2843	2	0	41	3	0	68	52.20282133	21.64507226
514	514		EVERETT	25	0	0	75	3	0		143.6643353	23.87324146	31.83098862	11	27	2656.320018	198308.5723	0	0	25	3	0	75	31.83098862	23.87324146
515	515		EVERETT	21	0	0	88	4	0		45.49009334	28.01126998	26.73803044	7	28	2499.143683	398546.4844	0	0	21	4	0	88	26.73803044	28.01126998
516	516		EVERETT	6	1	0	46	1	0		23.91465809	14.64225476	7.639437268	6	22	4499.739514	649807.6871	1	0	6	1	0	46	7.639437268	14.64225476
517	517		EVERETT	21	1	0	63	3	0		61.74798438	20.05352283	26.73803044	5	25	2112.754003	209722.4821	1	0	21	3	0	63	26.73803044	20.05352283
518	518		EVERETT	12	0	0	70	2	0		41.75696422	22.28169203	15.27887454	5	24	2471.939418	310126.4853	0	0	12	2	0	70	15.27887454	22.28169203
519	519		EVERETT	6	0	0	48	1	0		3.277459381	15.27887454	7.639437268	1	17	4387.370799	790242.6267	0	0	6	1	0	48	7.639437268	15.27887454
520	520		MALDEN	8	0	0	28	0	0		13.38216058	8.912676813	10.18591636	5	10	4268.319626	967701.7756	0	0	8	0	0	28	10.18591636	8.912676813
521	521		MALDEN	14	0	0	34	0	0		35.8644499	10.82253613	17.82535363	9	12	4063.963188	649944.25	0	0	14	0	0	34	17.82535363	10.82253613
522	522		MALDEN	8	0	0	57	0	1		7.591932364	18.14366351	10.18591636	1	18	2716.150694	341150.0506	0	0	8	0	1	57	10.18591636	18.14366351
523	523		MALDEN	11	0	0	79	2	1		0	25.14648101	14.00563499	0	25	2229.464994	272381.691	0	0	11	2	1	79	14.00563499	25.14648101
524	524		MALDEN	16	0	0	65	2	2		18.20025092	20.6901426	20.37183272	3	22	2654.094059	426915.2313	0	0	16	2	2	65	20.37183272	20.6901426
525	525		MALDEN	16	0	0	84	3	2		36.1230394	26.73803044	20.37183272	7	26	3013.765204	501893.4473	0	0	16	3	2	84	20.37183272	26.73803044
526	526		MALDEN	20	2	0	57	3	2		36.97458979	18.14366351	25.46479089	6	27	2718.276557	420286.7091	2	0	20	3	2	57	25.46479089	18.14366351
527	527	1	MALDEN	30	2	2	50	2	2		78.59966232	15.91549431	38.19718634	7	26	3593.072347	230661.5097	2	2	30	2	2	50	38.19718634	15.91549431
528	528	1	MALDEN	18	2	0	58	2	2		29.91415871	18.4619734	22.91831181	4	28	3454.879061	346322.7076	2	0	18	2	2	58	22.91831181	18.4619734
529	529		MALDEN	6	0	0	15	0	0		0	4.774648293	7.639437268	0	6	4430.105892	682291.5495	0	0	6	0	0	15	7.639437268	4.774648293
530	530		MALDEN	1	0	0	19	0	0		6.265074144	6.047887837	1.273239545	1	6	3547.170802	413401.031	0	0	1	0	0	19	1.273239545	6.047887837
531	531		MALDEN	3	0	0	23	0	0		0	7.321127382	3.819718634	0	7	2188.201888	283700.1649	0	0	3	0	0	23	3.819718634	7.321127382
532	532		MALDEN	7	0	0	27	0	0		33.31036373	8.594366927	8.912676813	3	10	2142.319739	233259.6664	0	0	7	0	0	27	8.912676813	8.594366927
533	533		MALDEN	8	0	0	22	0	0		18.87405455	7.002817496	10.18591636	7	7	4461.23509	960573.5072	0	0	8	0	0	22	10.18591636	7.002817496
534	534		MALDEN	16	0	0	25	0	0		55.56110366	7.957747155	20.37183272	8	10	3616.838302	372921.0458	0	0	16	0	0	25	20.37183272	7.957747155
535	535		MALDEN	11	0	0	33	0	1		27.6193452	10.50422624	14.00563499	5	11	3037.028566	468872.106	0	0	11	0	1	33	14.00563499	10.50422624
536	536		MALDEN	1	0	0	24	0	1		2.533838682	7.639437268	1.273239545	1	9	4613.721468	1022159.828	0	0	1	0	1	24	1.273239545	7.639437268
537	537		MALDEN	19	0	1	54	2	2		83.28994122	17.18873385	24.19155135	6	19	2280.463145	186576.2952	0	1	19	2	2	54	24.19155135	17.18873385
538	538		MALDEN	12	0	1	41	0	2		5.604361871	13.05070533	15.27887454	1	15	2856.789206	462137.9151	0	1	12	0	2	41	15.27887454	13.05070533
539	539		MALDEN	19	0	2	44	2	2	1	75.65245211	14.00563499	24.19155135	6	19	2255.008242	205412.0947	0	2	19	2	2	44	24.19155135	14.00563499
540	540		MALDEN	23	0	2	45	2	2	1	92.79964041	14.32394488	29.28450953	4	20	1461.588574	111637.8511	0	2	23	2	2	45	29.28450953	14.32394488
541	541		MALDEN	26	1	2	47	2	2		94.42764927	14.96056465	33.10422816	3	21	1189.600435	82284.84338	1	2	26	2	2	47	33.10422816	14.96056465
542	542		MALDEN	4	0	1	27	0	2		15.53686332	8.594366927	5.092958179	2	14	2927.916507	333399.0983	0	1	4	0	2	27	5.092958179	8.594366927
543	543	1	MALDEN	12	2	0	49	2	2		15.74579139	15.59718442	15.27887454	3	29	3086.259505	493462.9286	2	0	12	2	2	49	15.27887454	15.59718442
544	544		MALDEN	19	2	1	46	2	2	1	35.82320704	14.64225476	24.19155135	4	23	2239.698359	289196.6772	2	1	19	2	2	46	24.19155135	14.64225476
545	545		MALDEN	10	0	1	41	2	2		15.98851997	13.05070533	12.73239545	2	24	2288.547059	323980.9707	0	1	10	2	2	41	12.73239545	13.05070533
546	546		MALDEN	11	0	2	39	2	2		9.214196744	12.41408556	14.00563499	1	17	2462.632524	281086.695	0	2	11	2	2	39	14.00563499	12.41408556
547	547		MALDEN	5	0	1	40	2	2	1	6.512326174	12.73239545	6.366197724	1	19	2653.671188	397705.5266	0	1	5	2	2	40	6.366197724	12.73239545
548	548		MALDEN	6	0	1	37	2	2		0	11.77746579	7.639437268	0	20	2851.751285	397392.0771	0	1	6	2	2	37	7.639437268	11.77746579
549	549		MALDEN	1	0	0	14	0	2		2.672233135	4.456338407	1.273239545	1	17	5351.753233	969222.3617	0	0	1	0	2	14	1.273239545	4.456338407
550	550		MEDFORD	12	0	0	46	2	1		12.8558558	14.64225476	15.27887454	2	44	3050.838864	402927.3742	0	0	12	2	1	46	15.27887454	14.64225476
551	551		MEDFORD	9	0	0	45	2	0		5.897260192	14.32394488	11.4591559	1	41	3832.909669	439184.9818	0	0	9	2	0	45	11.4591559	14.32394488
552	552		MEDFORD	4	0	0	38	2	1		11.78737465	12.09577567	5.092958179	3	37	5155.607595	659176.8363	0	0	4	2	1	38	5.092958179	12.09577567
553	553		MEDFORD	9	0	1	50	3	2		19.23895333	15.91549431	11.4591559	4	42	3042.547658	538488.3607	0	1	9	3	2	50	11.4591559	15.91549431
554	554		MEDFORD	15	2	0	34	3	2		12.00069576	10.82253613	19.09859317	2	28	3640.793951	431639.6587	2	0	15	3	2	34	19.09859317	10.82253613
555	555		MEDFORD	6	0	1	54	3	2	1	30.9165925	17.18873385	7.639437268	4	41	4181.239546	335093.6052	0	1	6	3	2	54	7.639437268	17.18873385
556	556		MEDFORD	8	1	1	40	3	2		15.0063624	12.73239545	10.18591636	3	28	3121.255095	517778.0015	1	1	8	3	2	40	10.18591636	12.73239545
557	557		MEDFORD	9	0	2	39	1	2	1	18.33806129	12.41408556	11.4591559	2	24	2465.204075	282471.3113	0	2	9	1	2	39	11.4591559	12.41408556
558	558		MEDFORD	7	0	1	36	3	2		17.87501303	11.4591559	8.912676813	2	20	2240.679567	289788.6683	0	1	7	3	2	36	8.912676813	11.4591559
559	559		MEDFORD	10	0	0	37	1	1		16.32640055	11.77746579	12.73239545	2	40	2850.003183	317276.071	0	0	10	1	1	37	12.73239545	11.77746579
560	560		MEDFORD	9	0	0	55	4	0		8.712987452	17.50704374	11.4591559	1	35	3382.874774	297256.0358	0	0	9	4	0	55	11.4591559	17.50704374
561	561		MEDFORD	12	0	0	44	2	0		15.29605969	14.00563499	15.27887454	2	34	3367.313661	338647.7515	0	0	12	2	0	44	15.27887454	14.00563499
562	562		MEDFORD	11	0	0	34	2	0		7.34887153	10.82253613	14.00563499	1	33	2825.864683	352433.445	0	0	11	2	0	34	14.00563499	10.82253613
563	563		MEDFORD	12	0	0	26	1	0		100.9161607	8.276057041	15.27887454	7	38	2211.311065	179653.2551	0	0	12	1	0	26	15.27887454	8.276057041
564	564		MEDFORD	7	0	0	34	1	0		10.40388695	10.82253613	8.912676813	1	33	2231.056759	248944.2767	0	0	7	1	0	34	8.912676813	10.82253613
565	565		MEDFORD	10	0	0	40	2	0		3.472525004	12.73239545	12.73239545	1	40	5982.196181	745851.5367	0	0	10	2	0	40	12.73239545	12.73239545
566	566		MEDFORD	1	0	0	38	2	0		0	12.09577567	1.273239545	0	31	4648.507689	703487.3649	0	0	1	2	0	38	1.273239545	12.09577567
567	567		MEDFORD	8	0	0	37	3	1		19.85499849	11.77746579	10.18591636	4	29	3400.085835	521780.5707	0	0	8	3	1	37	10.18591636	11.77746579
568	568		MEDFORD	8	0	0	35	3	0		11.1345303	11.14084602	10.18591636	2	27	3022.569073	465217.3087	0	0	8	3	0	35	10.18591636	11.14084602
569	569		MEDFORD	8	0	0	29	3	0		26.97622857	9.230986699	10.18591636	5	21	3285.958972	480050.0751	0	0	8	3	0	29	10.18591636	9.230986699
570	570		MEDFORD	5	0	0	22	2	0		4.894406664	7.002817496	6.366197724	2	20	4816.235896	1058346.103	0	0	5	2	0	22	6.366197724	7.002817496
571	571		MEDFORD	2	0	0	3	0	0		2.306414092	0.954929659	2.546479089	2	16	7082.237998	2245900.352	0	0	2	0	0	3	2.306414092	0.954929659
572	572	1	MEDFORD	17	3	0	29	3	1		55.09442676	9.230986699	21.64507226	9	23	2881.504624	423089.8543	3	0	17	3	1	29	21.64507226	9.230986699
573	573	1	MEDFORD	8	2	0	28	3	1		10.27803641	8.912676813	10.18591636	3	19	4290.866989	755977.5058	2	0	8	3	1	28	10.18591636	8.912676813
574	574	1	MEDFORD	0	0	0	4	1	0		0.562622414	1.273239545	0	1	16	9875.591803	4603421.488	1	0	1	1	0	4	0.562622414	1.273239545
575	575		MEDFORD	8	0	0	24	3	1		0	7.639437268	10.18591636	0	19	3955.81059	890330.0721	0	0	8	3	1	24	10.18591636	7.639437268
576	576		MEDFORD	0	0	0	7	0	0		4.466207358	2.228169203	0	3	16	6891.360006	1739723.149	0	0	0	0	0	7	0	2.228169203
577	577		MEDFORD	8	0	0	28	0	1		18.34386603	8.912676813	10.18591636	4	18	3090.414133	564763.852	0	0	8	0	1	28	10.18591636	8.912676813
578	578		MEDFORD	0	0	0	12	0	0		7.353711739	3.819718634	0	3	16	5291.273402	1056604.421	0	0	0	0	0	12	0	3.819718634
579	579		SOMERVILLE	18	1	1	81	2	3		0	25.78310078	22.91831181	0	47	3599.365242	443302.9273	1	1	18	2	3	81	22.91831181	25.78310078
580	580		SOMERVILLE	11	0	0	86	3	4		27.29536901	27.37465021	14.00563499	3	46	3278.032246	284662.3663	0	0	11	3	4	86	14.00563499	27.37465021
